customer_id,product_id,star_rating,verified_purchase
816,567,0.0,0
1458,201,0.0,0
2764,4651,0.0,0
2817,1720,3.0,0
3611,656,0.0,0
2818,3646,0.0,0
497,980,0.0,0
4052,3223,0.0,0
7185,1096,1.0,0
6665,202,0.0,0
7842,4054,0.0,0
3263,750,0.0,0
7143,184,0.0,0
2945,5590,0.0,0
4383,2561,5.0,1
4903,4286,0.0,0
4793,5838,0.0,0
2734,3349,0.0,0
1995,3933,0.0,0
5028,5371,0.0,0
2573,3798,1.0,0
4481,5874,0.0,0
2666,354,0.0,0
4358,814,0.0,0
2919,3568,5.0,1
3681,1891,0.0,0
982,5867,1.0,0
4373,2935,0.0,0
4828,5627,0.0,0
855,5887,0.0,0
2047,5354,5.0,1
2861,4384,0.0,0
6252,1324,0.0,0
3388,3534,0.0,0
7804,472,3.0,1
1571,1852,0.0,0
2797,1013,0.0,0
7767,3425,0.0,0
5141,1159,4.0,1
5164,4004,5.0,1
5088,4565,0.0,0
7406,4335,0.0,0
1859,1362,0.0,0
4406,5689,0.0,0
7095,2076,0.0,0
1597,2709,0.0,0
160,5118,5.0,1
3847,4877,2.0,1
319,1867,0.0,0
4183,4197,1.0,0
96,3264,0.0,0
3358,5261,0.0,0
7563,1501,0.0,0
6933,1919,0.0,0
2947,5150,0.0,0
6942,2325,0.0,0
4419,2558,0.0,0
3775,4399,0.0,0
7080,1954,0.0,0
7125,5942,0.0,0
7061,1422,4.0,1
3710,826,0.0,0
5201,1222,0.0,0
5106,3749,0.0,0
1857,2713,0.0,0
7649,5337,0.0,0
5265,3600,0.0,0
2271,1181,0.0,0
6712,4460,0.0,0
329,548,0.0,0
3827,2699,0.0,0
5896,3211,0.0,0
4062,1463,0.0,0
7850,5167,1.0,1
757,2407,5.0,1
1021,2767,0.0,0
3655,3764,0.0,0
5963,3348,0.0,0
755,2912,0.0,0
2853,4769,0.0,0
4106,724,0.0,0
6901,2120,5.0,0
118,3998,0.0,0
2697,5123,3.0,1
2455,1325,0.0,0
5693,5322,0.0,0
7575,2143,0.0,0
2572,4594,5.0,0
3337,2570,0.0,0
790,4249,0.0,0
843,859,0.0,0
7513,1773,0.0,0
7460,4981,0.0,0
1527,5032,0.0,0
4262,873,5.0,0
5510,494,0.0,0
1210,2025,0.0,0
1480,4974,0.0,0
3838,2313,0.0,0
5405,3400,0.0,0
4290,3029,0.0,0
1768,907,0.0,0
1692,3819,5.0,0
4584,3122,0.0,0
7414,3138,0.0,0
6590,94,0.0,0
2035,2829,0.0,0
3007,1881,1.0,0
4058,5741,5.0,0
5907,1516,0.0,0
5159,5701,5.0,0
6456,3229,0.0,0
6929,2116,2.0,0
3257,1388,0.0,0
2295,1777,0.0,0
5318,4563,4.0,1
2155,3617,4.0,1
5,5473,0.0,0
6267,3006,1.0,1
771,5776,0.0,0
3836,3213,0.0,0
5019,5883,4.0,1
5534,4566,0.0,0
4305,3688,0.0,0
5044,1683,1.0,0
3720,1688,0.0,0
2755,3313,0.0,0
5145,1208,0.0,0
483,2972,0.0,0
6436,4009,0.0,0
7268,849,0.0,0
6782,1631,3.0,1
455,5065,4.0,1
5285,4231,0.0,0
4407,3073,1.0,1
3565,2275,0.0,0
3086,454,0.0,0
1846,42,0.0,0
745,4277,5.0,0
7129,250,5.0,0
5398,834,0.0,0
7319,3208,0.0,0
5152,4176,1.0,0
6279,232,0.0,0
925,965,5.0,0
5560,1885,0.0,0
7763,5380,0.0,0
5456,4848,0.0,0
7868,3996,0.0,0
2501,4392,5.0,1
2297,4126,0.0,0
1001,778,0.0,0
6086,328,5.0,0
6721,2971,0.0,0
2158,1557,0.0,0
5536,3378,0.0,0
7299,697,0.0,0
6199,3083,5.0,1
1528,1985,0.0,0
5519,2767,3.0,0
7709,1528,0.0,0
7594,4958,0.0,0
379,1903,0.0,0
7505,3510,0.0,0
7262,374,5.0,1
1108,2726,1.0,0
876,534,0.0,0
5096,5851,0.0,0
595,2139,0.0,0
7479,1869,0.0,0
4541,3712,0.0,0
2950,3273,0.0,0
6334,16,0.0,0
699,3352,4.0,1
1,438,0.0,0
4269,5273,0.0,0
6835,1259,0.0,0
2391,1968,0.0,0
6756,3967,0.0,0
3719,4551,3.0,1
1935,1359,0.0,0
2930,1875,0.0,0
1487,4517,0.0,0
3728,3624,0.0,0
3837,372,0.0,0
6638,3855,0.0,0
7720,1724,0.0,0
692,3828,0.0,0
6131,204,0.0,0
149,544,0.0,0
5788,3553,0.0,0
5052,1474,0.0,0
7843,2089,1.0,0
5453,2090,0.0,0
3634,1500,0.0,0
4379,1687,0.0,0
2733,1072,5.0,0
536,3711,0.0,0
6650,4530,0.0,0
7235,4801,0.0,0
1870,3637,0.0,0
5797,5313,0.0,0
3832,2776,5.0,1
264,298,0.0,0
3194,134,0.0,0
7878,1580,5.0,0
569,5945,1.0,0
5211,1170,0.0,0
3668,2057,5.0,0
7670,2184,1.0,0
4911,560,0.0,0
4434,897,0.0,0
225,1969,0.0,0
1068,4685,0.0,0
3008,2891,5.0,0
3346,2052,0.0,0
1951,4803,0.0,0
5734,5331,0.0,0
1093,1686,0.0,0
4669,4725,0.0,0
7059,1578,0.0,0
4425,3567,0.0,0
7963,2136,0.0,0
4884,2942,0.0,0
1185,1733,0.0,0
2072,3818,5.0,1
1804,2918,0.0,0
4390,4364,0.0,0
1471,3547,5.0,0
6815,3807,0.0,0
6569,258,5.0,0
3950,2933,0.0,0
4544,1900,0.0,0
7008,1107,0.0,0
2317,5644,0.0,0
486,2831,0.0,0
1459,763,0.0,0
4542,2306,0.0,0
5343,84,2.0,0
7801,4287,0.0,0
4679,2072,0.0,0
2559,382,0.0,0
5252,318,0.0,0
7034,4872,1.0,0
6384,649,0.0,0
559,5742,5.0,1
1215,5699,0.0,0
7271,2164,0.0,0
3036,5001,0.0,0
373,5152,0.0,0
920,2283,2.0,0
7378,3129,0.0,0
6449,2417,5.0,1
1862,3285,5.0,1
3372,5377,4.0,0
681,3185,0.0,0
1174,5630,5.0,0
5808,5169,0.0,0
3831,869,0.0,0
7436,1067,4.0,1
5161,4507,3.0,1
4418,3175,0.0,0
6737,629,0.0,0
2225,1603,0.0,0
3859,948,0.0,0
562,9,0.0,0
3577,5639,1.0,0
1800,2018,0.0,0
7211,2528,0.0,0
4215,4967,0.0,0
1770,4510,5.0,0
1040,1221,0.0,0
5827,635,0.0,0
3727,555,5.0,0
6819,27,0.0,0
5110,1397,5.0,1
2924,1925,0.0,0
1867,4914,0.0,0
4770,4621,3.0,1
2432,617,0.0,0
5877,3588,0.0,0
3823,3020,4.0,0
1303,342,0.0,0
2615,4153,0.0,0
1832,880,0.0,0
3709,220,0.0,0
4057,4186,0.0,0
5151,5461,0.0,0
1776,2004,0.0,0
6530,3457,0.0,0
2496,5233,0.0,0
2202,2494,0.0,0
5031,3728,5.0,0
6374,569,4.0,0
5071,4392,0.0,0
71,4732,0.0,0
4956,2391,4.0,1
248,3972,0.0,0
6701,4041,0.0,0
760,4482,0.0,0
5735,5740,5.0,1
3657,1405,0.0,0
7617,3692,0.0,0
5380,1666,0.0,0
5919,2664,0.0,0
2263,5816,0.0,0
2077,1251,0.0,0
236,4215,5.0,0
5123,1232,0.0,0
1866,2676,0.0,0
1870,2643,0.0,0
1783,4452,0.0,0
2811,2522,0.0,0
7104,1481,5.0,1
2366,1269,0.0,0
7048,2790,0.0,0
1868,3176,0.0,0
7258,4686,3.0,0
4251,2314,0.0,0
7029,2401,0.0,0
4965,4838,5.0,1
5177,4704,0.0,0
6331,1010,0.0,0
1759,1213,0.0,0
6738,4730,0.0,0
6931,2839,2.0,1
4193,3002,0.0,0
6813,4796,0.0,0
3548,1399,0.0,0
722,2160,0.0,0
3565,4296,1.0,0
952,650,0.0,0
6601,5691,0.0,0
4858,3936,0.0,0
1827,126,0.0,0
5162,4587,1.0,1
2886,1595,5.0,0
1364,1503,0.0,0
2267,1405,0.0,0
3919,32,0.0,0
4277,433,0.0,0
4794,1381,0.0,0
1204,3690,1.0,0
4922,5913,0.0,0
2383,953,0.0,0
3479,1616,0.0,0
3481,1677,0.0,0
2874,1775,0.0,0
5487,3691,0.0,0
5377,4087,5.0,0
7717,3537,1.0,1
6772,671,0.0,0
2179,1749,4.0,0
